name,name,url
THビル,TH2F,https://dance-studio-lab.com/room/Mzc2MTU4YmQtMzJmZi00ODNkLTkyYzMtMWY4ZjMxZjM1MDli/detail
レンタルスタジオAivic築地,レンタルスタジオAivic築地,https://dance-studio-lab.com/room/Y2UzMzcxZTMtNDhlNS00ODEwLWJlOGYtZjA1ZjM5Y2YxNjE0/detail
Dubway レンタルスタジオ小岩,Dubway小岩 B Room,https://dance-studio-lab.com/room/ZmU2YzI4MzYtZGY2ZC00YmZkLWI5MWItZDg0OTdkOTdmOGI5/detail
BUZZ赤坂見附,Ast,https://dance-studio-lab.com/room/NjYxZDU0NDMtOGEwNS00MDM3LTllNDktMzAyNTQ0MmVlMTE1/detail
BUZZ赤坂見附,Bst,https://dance-studio-lab.com/room/MTY3OGY1NTAtMzcxYS00M2UyLWI2OTgtNDg1Yjc5MzMyOGJi/detail
レンタルピラティススタジオAivic北参道,レンタルピラティススタジオAivic北参道,https://dance-studio-lab.com/room/MWZkYTk2NGMtMDU4OC00YjY5LWI5MjYtNjNhNmYyMWI4M2Q2/detail
THビル,TH2E,https://dance-studio-lab.com/room/MTE5Nzk3ZDAtOTFjMC00Y2I4LWIxNzgtYjdiY2Y0YjEyNTVi/detail
THビル,TH2B＋2E,https://dance-studio-lab.com/room/NWVmMjA3MGYtNzRhMC00MDFkLWFlOTEtY2U5ODFlNWQzYTI0/detail
日暮里リーダンススタジオ,リーダンススタジオ,https://dance-studio-lab.com/room/MjAxNTcyNmItYmQ2Ny00MmEzLWIyNjktODFkZmYxNGJiOTVh/detail
BUZZ渋谷TOWER,4-2st,https://dance-studio-lab.com/room/YWZmOTdhZGMtMjk1MC00ODljLWE2YWUtMDRjMGM5NTIxZTg2/detail
BUZZ国分寺,Bst,https://dance-studio-lab.com/room/ZjIzMWQ0ZjctM2ViOC00Yzg1LWExMzMtMGFkZDYwYzg1Mjhj/detail
BUZZ竹ノ塚,1st,https://dance-studio-lab.com/room/ZWZlMjI5ZGItYzc5NS00ZjU2LThlMWItNTQxM2VhODk5ZGQ0/detail
Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,Hina STUDIO（ヒナスタジオ）新宿西口アネックス【Bスタジオ】,https://dance-studio-lab.com/room/NWQxZDIzMzUtNWMzOC00MzY4LWE4YmYtMWU3MDBkYWM3ZDY2/detail
BUZZ南池袋,11st,https://dance-studio-lab.com/room/MTBjZDE1MWUtMTc4Ny00Nzg4LTkwYWQtN2I5OWM4OTcwNWM4/detail
【TEST】ダンススタジオラボ,ルーム１０１,https://dance-studio-lab.com/room/OThlYjg0OGYtYWUzYy00MzVlLTk0MDAtNjRhMjhjYTM4Yjk3/detail
チェリッシュスタジオ1号館/6号館,チェリッシュスタジオ6号館,https://dance-studio-lab.com/room/Njc0MjgwMDUtMzBjZS00ZmU5LWFkNzgtYTE3Y2U5NDMyYmU0/detail
BUZZ渋谷TOWER,6-1st,https://dance-studio-lab.com/room/MjRkYmYwMWQtYTBiYy00YjMzLWIyZjktMzQxYmFlOWYwYjY0/detail
BUZZ横浜2nd,Ast,https://dance-studio-lab.com/room/M2NjZjBmYmItOThiZS00MzI4LWEwYzQtNDRkOWUxMjRlYWM3/detail
BUZZ横浜2nd,Sst,https://dance-studio-lab.com/room/ZTZmYTE2ZGUtNTUxOC00NTViLTg1ZWUtOTQ1ODNlMjE4MmY1/detail
BUZZ池袋西口PARK,Sst,https://dance-studio-lab.com/room/ZjBiN2M3MDEtZTMzYS00ZGZkLTg3YTktYjU3MjdjNDk3Njli/detail
BUZZ神田,Cst,https://dance-studio-lab.com/room/ODJkZDE5YzQtMTlhZS00NjNlLWJlZTQtNDA3NTU3MTQ5NDg5/detail
Hina STUDIO（ヒナスタジオ）【目黒スタジオ】,Hina STUDIO（ヒナスタジオ）【目黒スタジオ】,https://dance-studio-lab.com/room/NDI2ZDYyZTYtOWNhNy00YmIxLWJhNzItOTJlYmQ3MmI3MTU2/detail
