studio_title,api_status,google_name,match_confidence,website_uri,url_accessible,google_address,query_used
BUZZ レンタルスタジオ 上野店,OK,BUZZ上野,0.571,http://buzz-st.com/ueno2/,False,〒110-0003 東京都台東区根岸３丁目６−３ 地下1階,BUZZ レンタルスタジオ 上野店 東京都台東区根岸
BUZZ LIVE 赤坂,OK,BUZZ LIVE 赤坂,1.0,https://buzz-st.com/live-akasaka,False,〒107-0052 東京都港区赤坂３丁目１５−３ 忍路ビル B1,BUZZ LIVE 赤坂 東京都港区赤坂
BUZZ YOKOHAMA,OK,BUZZ横浜,0.444,https://buzz-st.com/yokohama/,False,〒221-0835 神奈川県横浜市神奈川区鶴屋町１丁目2−１ INUYAMA BUILD 地下1階,BUZZ YOKOHAMA 神奈川県横浜市神奈川区鶴屋町
M Ballet Studio,OK,M Ballet Studio,1.0,,False,〒192-0902 東京都八王子市上野町１７−５ SKダンススタジオ 内,M Ballet Studio 東京都八王子市上野町１７-５ SKダンススタジオ 内
BUZZ レンタルスタジオ浦和店,OK,BUZZ浦和,0.571,https://buzz-st.com/urawa/,False,〒330-0063 埼玉県さいたま市浦和区高砂２丁目６−１３ あずさビル B1,BUZZ レンタルスタジオ浦和店 埼玉県さいたま市浦和区高砂
Manohiva Japan,OK,Manohiva Japan,1.0,https://www.manohivajapan.net/,True,〒140-0013 東京都品川区南大井３丁目２０−１１ 伊藤ビル 201,Manohiva Japan 東京都品川区南大井
NANSO STUDIO,OK,キックボクシングいすみ NANSO STUDIO,0.667,https://nansome.me/gym/,False,〒298-0133 千葉県いすみ市引田１１８,NANSO STUDIO 千葉県いすみ市引田１１８
neu 168 Dance Studio,OK,neu 168 Dance Studio,1.0,https://www.iknoelleballetcontemporary.com/,True,〒156-0057 東京都世田谷区上北沢３丁目３３−５,neu 168 Dance Studio 東京都世田谷区上北沢
NML dance studioふじみ野校,OK,NML dance studioふじみ野校,1.0,https://www.nmldancestudio.com/,False,〒356-0057 埼玉県入間郡ふじみ野市市沢１丁目１１−４６ FNビル 101,NML dance studioふじみ野校 埼玉県富士見市ふじみ野東
STUDIO A1-04（レンタルスタジオ）,OK,STUDIO A1-04（レンタルスタジオ）,1.0,,False,〒150-0021 東京都渋谷区恵比寿西１丁目１４−３ 満栄佐藤ビル 2階 202号室,STUDIO A1-04（レンタルスタジオ） 東京都渋谷区恵比寿西
