station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1130307,1130307,武蔵小杉,武蔵小杉,神奈川県,川崎市,川崎市中原区,川崎市中原区小杉町三丁目492,35.576215,139.660679,JR南武線|JR成田エクスプレス|JR横須賀線|JR湘南新宿ライン|東急東横線|東急目黒線|相鉄・JR直通線,JR東日本|東急電鉄|相模鉄道,7,A,60,駅データ.jp
1130310,1130310,武蔵溝ノ口,武蔵溝ノ口,神奈川県,川崎市,川崎市高津区,川崎市高津区溝口,35.599534,139.610788,JR南武線|東急大井町線|東急田園都市線,JR東日本|東急電鉄,3,C,24,駅データ.jp
1130320,1130320,府中本町,府中本町,東京都,府中市,府中市,府中市本町１丁目,35.665766,139.477142,JR南武線|JR武蔵野線,JR東日本,2,C,23,駅データ.jp
1130325,1130325,立川,立川,東京都,立川市,立川市,東京都立川市曙町二丁目1-1,35.698202,139.413704,JR中央本線(東京～塩尻)|JR中央線(快速)|JR南武線|JR青梅線,JR東日本,4,A,60,駅データ.jp
1130401,1130401,鶴見,鶴見,神奈川県,横浜市,横浜市鶴見区,横浜市鶴見区鶴見中央,35.507935,139.676674,JR京浜東北線|JR鶴見線|京急本線,JR東日本|京急電鉄,3,C,24,駅データ.jp
1130503,1130503,西国分寺,西国分寺,東京都,国分寺市,国分寺市,国分寺市西恋ケ窪２丁目,35.699744,139.465994,JR中央線(快速)|JR武蔵野線,JR東日本,2,C,23,駅データ.jp
1130508,1130508,北朝霞,北朝霞,埼玉県,朝霞市,朝霞市,朝霞市浜崎１丁目,35.814902,139.587255,JR武蔵野線|東武東上線,JR東日本|東武鉄道,2,C,23,駅データ.jp
1130513,1130513,東川口,東川口,埼玉県,川口市,川口市,川口市戸塚１丁目,35.875728,139.744034,JR武蔵野線|埼玉高速鉄道線,JR東日本|埼玉高速鉄道,2,C,23,駅データ.jp
1130514,1130514,南越谷,南越谷,埼玉県,越谷市,越谷市,越谷市南越谷１丁目,35.875646,139.790202,JR武蔵野線|東武伊勢崎線,JR東日本|東武鉄道,2,C,23,駅データ.jp
1130518,1130518,南流山,南流山,千葉県,流山市,流山市,流山市大字鰭ケ崎,35.838363,139.903568,JR武蔵野線|つくばエクスプレス,JR東日本|首都圏新都市鉄道,2,C,23,駅データ.jp
