station_id,station_group_id,station_name,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1140504,1140504,滑川,富山県,滑川市,滑川市,滑川市辰野,36.769137,137.348671,あいの風とやま鉄道線|富山地鉄本線,あいの風とやま鉄道|富山地方鉄道,2,C,23,駅データ.jp
1140505,1140505,東滑川,富山県,滑川市,滑川市,滑川市中村,36.787987,137.37805,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,13,駅データ.jp
1140506,1140506,新魚津,富山県,魚津市,魚津市,魚津市釈迦堂,36.826495,137.405576,あいの風とやま鉄道線|富山地鉄本線,あいの風とやま鉄道|富山地方鉄道,2,C,23,駅データ.jp
1140507,1140507,黒部,富山県,黒部市,黒部市,黒部市天神新,36.869322,137.434393,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,13,駅データ.jp
1140508,1140508,生地,富山県,黒部市,黒部市,黒部市吉田,36.906031,137.426534,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,5,駅データ.jp
1140509,1140509,西入善,富山県,,,下新川郡入善町下飯野,36.930124,137.459298,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,5,駅データ.jp
1140510,1140510,入善,富山県,,,下新川郡入善町入膳,36.941296,137.499,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,5,駅データ.jp
1140511,1140511,泊,富山県,,,下新川郡朝日町平柳,36.951897,137.556179,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,5,駅データ.jp
1140512,1140512,越中宮崎,富山県,,,下新川郡朝日町宮崎,36.973863,137.599423,あいの風とやま鉄道線,あいの風とやま鉄道,1,D,5,駅データ.jp
1140513,1140513,市振,新潟県,糸魚川市,糸魚川市,糸魚川市市振,36.980448,137.650373,あいの風とやま鉄道線|日本海ひすいライン,あいの風とやま鉄道|えちごトキめき鉄道,2,D,15,駅データ.jp
1140514,1140514,親不知,新潟県,糸魚川市,糸魚川市,糸魚川市歌,37.006818,137.738104,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140515,1140515,青海,新潟県,糸魚川市,糸魚川市,糸魚川市青海,37.022469,137.795622,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140516,1140516,糸魚川,新潟県,糸魚川市,糸魚川市,糸魚川市大町１丁目,37.043631,137.861311,北アルプス線|日本海ひすいライン,JR東日本|えちごトキめき鉄道,2,C,23,駅データ.jp
1140517,1140517,梶屋敷,新潟県,糸魚川市,糸魚川市,糸魚川市大字田伏,37.056577,137.905738,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140518,1140518,浦本,新潟県,糸魚川市,糸魚川市,糸魚川市大字間脇,37.073935,137.939659,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140519,1140519,能生,新潟県,糸魚川市,糸魚川市,糸魚川市能生,37.096049,137.988405,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140520,1140520,筒石,新潟県,糸魚川市,糸魚川市,糸魚川市仙納,37.127473,138.060768,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140521,1140521,名立,新潟県,上越市,上越市名立区,上越市名立区名立大町,37.15584,138.092649,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140522,1140522,有間川,新潟県,上越市,上越市,上越市大字有間川,37.163323,138.136553,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140523,1140523,谷浜,新潟県,上越市,上越市,上越市大字長浜,37.162399,138.173867,日本海ひすいライン,えちごトキめき鉄道,1,D,5,駅データ.jp
1140602,1140602,東新潟,新潟県,新潟市,新潟市東区,新潟市東区中島,37.908773,139.108685,JR白新線,JR東日本,1,D,5,駅データ.jp
1140603,1140603,大形,新潟県,新潟市,新潟市東区,新潟市東区岡山,37.915518,139.129272,JR白新線,JR東日本,1,D,5,駅データ.jp
1140604,1140604,新崎,新潟県,新潟市,新潟市北区,新潟市北区新崎１丁目,37.922478,139.158558,JR白新線,JR東日本,1,D,5,駅データ.jp
1140605,1140605,早通,新潟県,新潟市,新潟市北区,新潟市北区早通,37.92109,139.178173,JR白新線,JR東日本,1,D,5,駅データ.jp
1140606,1140606,豊栄,新潟県,新潟市,新潟市北区,新潟市北区白新町１丁目,37.919351,139.215347,JR白新線,JR東日本,1,D,5,駅データ.jp
1140607,1140607,黒山,新潟県,新潟市,新潟市北区,新潟市北区太田,37.937128,139.241177,JR白新線,JR東日本,1,D,5,駅データ.jp
1140608,1140608,佐々木,新潟県,新発田市,新発田市,新発田市上中沢,37.949716,139.270099,JR白新線,JR東日本,1,D,5,駅データ.jp
1140609,1140609,西新発田,新潟県,新発田市,新発田市,新発田市富塚町１丁目,37.942097,139.303474,JR白新線,JR東日本,1,D,13,駅データ.jp
1140705,1140705,信濃浅野,長野県,長野市,長野市,長野市豊野町浅野,36.722011,138.294784,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140706,1140706,立ケ花,長野県,長野市,長野市,長野県長野市豊野町蟹沢,36.731257,138.307057,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140707,1140707,上今井,長野県,中野市,中野市,中野市上今井,36.753947,138.319478,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140708,1140708,替佐,長野県,中野市,中野市,中野市豊津,36.768999,138.323385,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140709,1140709,蓮,長野県,飯山市,飯山市,飯山市大字蓮,36.80888,138.349026,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140710,1140710,飯山,長野県,飯山市,飯山市,飯山市大字飯山,36.847642,138.359335,JR飯山線,JR東日本,1,D,13,駅データ.jp
1140711,1140711,北飯山,長野県,飯山市,飯山市,飯山市大字飯山,36.85883,138.363765,JR飯山線,JR東日本,1,D,13,駅データ.jp
1140712,1140712,信濃平,長野県,飯山市,飯山市,飯山市大字常盤,36.884918,138.378479,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140713,1140713,戸狩野沢温泉,長野県,飯山市,飯山市,飯山市大字照里,36.916673,138.392952,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140714,1140714,上境,長野県,飯山市,飯山市,飯山市大字一山,36.937916,138.419151,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140715,1140715,上桑名川,長野県,飯山市,飯山市,飯山市大字照岡,36.962559,138.441204,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140716,1140716,桑名川,長野県,飯山市,飯山市,飯山市大字照岡,36.975882,138.458007,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140717,1140717,西大滝,長野県,飯山市,飯山市,飯山市大字照岡,36.979169,138.480872,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140718,1140718,信濃白鳥,長野県,,,下水内郡栄村大字豊栄,36.983591,138.50302,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140719,1140719,平滝,長野県,,,下水内郡栄村大字豊栄,36.986041,138.533723,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140720,1140720,横倉,長野県,,,下水内郡栄村大字北信,36.979875,138.55031,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140721,1140721,森宮野原,長野県,,,下水内郡栄村大字北信,36.989447,138.57733,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140722,1140722,足滝,新潟県,,,中魚沼郡津南町大字上郷寺石,36.998958,138.603625,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140723,1140723,越後田中,新潟県,,,中魚沼郡津南町大字上郷上田,37.005316,138.627058,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140724,1140724,津南,新潟県,,,中魚沼郡津南町大字外丸,37.023503,138.639326,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140725,1140725,越後鹿渡,新潟県,,,中魚沼郡津南町字三箇,37.048054,138.671592,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140726,1140726,越後田沢,新潟県,十日町市,十日町市,十日町市田中,37.055387,138.694731,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140727,1140727,越後水沢,新潟県,十日町市,十日町市,十日町市大字馬場,37.074324,138.718056,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140728,1140728,土市,新潟県,十日町市,十日町市,十日町市大字新宮,37.097457,138.72951,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140729,1140729,十日町,新潟県,十日町市,十日町市,十日町市丑,37.134562,138.756188,JR飯山線|北越急行ほくほく線,JR東日本|北越急行,2,C,23,駅データ.jp
1140730,1140730,魚沼中条,新潟県,十日町市,十日町市,十日町市大字中条旭町,37.159467,138.772491,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140731,1140731,下条,新潟県,十日町市,十日町市,十日町市下条４丁目,37.198324,138.779989,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140732,1140732,越後岩沢,新潟県,小千谷市,小千谷市,小千谷市大字岩沢,37.240753,138.797097,JR飯山線,JR東日本,1,D,5,駅データ.jp
